dátum	verseny	helyezés	pont
1993.03.14	South African Grand Prix	1	10
1993.03.28	Brazilian Grand Prix	-1	0
1993.04.11	European Grand Prix	3	4
1993.04.25	San Marino Grand Prix	1	10
1993.05.09	Spanish Grand Prix	1	10
1993.05.23	Monaco Grand Prix	4	3
1993.06.13	Canadian Grand Prix	1	10
1993.07.04	French Grand Prix	1	10
1993.07.11	British Grand Prix	1	10
1993.07.25	German Grand Prix	1	10
1993.08.15	Hungarian Grand Prix	12	0
1993.08.29	Belgian Grand Prix	3	4
1993.09.12	Italian Grand Prix	12	0
1993.09.26	Portuguese Grand Prix	2	6
1993.10.24	Japanese Grand Prix	2	6
1993.11.07	Australian Grand Prix	2	6
1991.03.10	United States Grand Prix	2	6
1991.03.24	Brazilian Grand Prix	4	3
1991.04.28	San Marino Grand Prix	-1	0
1991.05.12	Monaco Grand Prix	5	2
1991.06.02	Canadian Grand Prix	-1	0
1991.06.16	Mexican Grand Prix	-1	0
1991.07.07	French Grand Prix	2	6
1991.07.14	British Grand Prix	3	4
1991.07.28	German Grand Prix	-1	0
1991.08.11	Hungarian Grand Prix	-1	0
1991.08.25	Belgian Grand Prix	-1	0
1991.09.08	Italian Grand Prix	3	4
1991.09.22	Portuguese Grand Prix	-1	0
1991.09.29	Spanish Grand Prix	2	6
1991.10.20	Japanese Grand Prix	4	3
1990.03.11	United States Grand Prix	-1	0
1990.03.25	Brazilian Grand Prix	1	9
1990.05.13	San Marino Grand Prix	4	3
1990.05.27	Monaco Grand Prix	-1	0
1990.06.10	Canadian Grand Prix	5	2
1990.06.24	Mexican Grand Prix	1	9
1990.07.08	French Grand Prix	1	9
1990.07.15	British Grand Prix	1	9
1990.07.29	German Grand Prix	4	3
1990.08.12	Hungarian Grand Prix	-1	0
1990.08.26	Belgian Grand Prix	2	6
1990.09.09	Italian Grand Prix	2	6
1990.09.23	Portuguese Grand Prix	3	4
1990.09.30	Spanish Grand Prix	1	9
1990.10.21	Japanese Grand Prix	-1	0
1990.11.04	Australian Grand Prix	3	4
1989.03.26	Brazilian Grand Prix	2	6
1989.04.23	San Marino Grand Prix	2	6
1989.05.07	Monaco Grand Prix	2	6
1989.05.28	Mexican Grand Prix	5	2
1989.06.04	United States Grand Prix	1	9
1989.06.18	Canadian Grand Prix	-1	0
1989.07.09	French Grand Prix	1	9
1989.07.16	British Grand Prix	1	9
1989.07.30	German Grand Prix	2	6
1989.08.13	Hungarian Grand Prix	4	3
1989.08.27	Belgian Grand Prix	2	6
1989.09.10	Italian Grand Prix	1	9
1989.09.24	Portuguese Grand Prix	2	6
1989.10.01	Spanish Grand Prix	3	4
1989.10.22	Japanese Grand Prix	-1	0
1989.11.05	Australian Grand Prix	-1	0
1988.04.03	Brazilian Grand Prix	1	9
1988.05.01	San Marino Grand Prix	2	6
1988.05.15	Monaco Grand Prix	1	9
1988.05.29	Mexican Grand Prix	1	9
1988.06.12	Canadian Grand Prix	2	6
1988.06.19	Detroit Grand Prix	2	6
1988.07.03	French Grand Prix	1	9
